Title,Note,URL,Comment
St Pauls Anglican Church,,https://www.google.com/maps/place/St+Pauls+Anglican+Church/data=!4m2!3m1!1s0x6d0c9b63fed27323:0xd4fde795414b11a1,
Langsview Track Toilets & Water Station,,https://www.google.com/maps/place/Langsview+Track+Toilets+%26+Water+Station/data=!4m2!3m1!1s0x6d0c9500114ce8ad:0x3906ad5ef4b0193a,
Uretiti Beach DOC Campsite,,https://www.google.com/maps/place/Uretiti+Beach+DOC+Campsite/data=!4m2!3m1!1s0x6d0c9ac1a74f4bbd:0x6e34a34deaf91f47,
Riverside Holiday Park,,https://www.google.com/maps/place/Riverside+Holiday+Park/data=!4m2!3m1!1s0x6d0c9537fc744abb:0xf1563d79ff92f490,
17B Wrack Street,,https://www.google.com/maps/place/17B+Wrack+Street/data=!4m2!3m1!1s0x6d0b7edc60fc56d3:0x7c5981192d0b4257,
Whananaki Holiday Park & Motels,,https://www.google.com/maps/place/Whananaki+Holiday+Park+%26+Motels/data=!4m2!3m1!1s0x6d0b6def235abc83:0xa2620596241b782,
Mangawhai Heads,,https://www.google.com/maps/place/Mangawhai+Heads/data=!4m2!3m1!1s0x6d0c95bb37072985:0x500ef6143a2de90,
Dropped pin,,"https://www.google.com/maps/search/-35.4776282,174.3635104",
The Farm,,https://www.google.com/maps/place/The+Farm/data=!4m2!3m1!1s0x6d0b098fcfeea143:0x9cee7383a6293787,
228 Waikare Valley Road,,https://www.google.com/maps/place/228+Waikare+Valley+Road/data=!4m2!3m1!1s0x6d0ba12859e0373d:0xf63edf43cdbc9f32,
Bay of Islands Lodge,,https://www.google.com/maps/place/Bay+of+Islands+Lodge/data=!4m2!3m1!1s0x6d0bbad694030e41:0x6def38c5b544a59d,
Raglan,,https://www.google.com/maps/place/Raglan/data=!4m2!3m1!1s0x6d132aa119f6886d:0x500ef6143a2fc50,
The Doctors Kerikeri,,https://www.google.com/maps/place/The+Doctors+Kerikeri/data=!4m2!3m1!1s0x6d0bb7ee0c0c8bf9:0x1e0484e3d1bfb1c7,
Dropped pin,,"https://www.google.com/maps/search/-35.2364685,173.6592508",
271 Takahue Saddle Road,,https://www.google.com/maps/place/271+Takahue+Saddle+Road/data=!4m2!3m1!1s0x6d096e26f76cbc95:0x7e9cff5825472678,
Makene Road,,https://www.google.com/maps/place/Makene+Road/data=!4m2!3m1!1s0x6d097cabcfca3423:0x52561481b7da1d08,
Puketi Recreation Area Campsite,,https://www.google.com/maps/place/Puketi+Recreation+Area+Campsite/data=!4m2!3m1!1s0x6d0bcf979109e2db:0xcf2606989a2141c2,
102 Hobson Street,,https://www.google.com/maps/place/102+Hobson+Street/data=!4m2!3m1!1s0x6d0d47f03d55ec87:0x1830cb5cea6b7760,
Les Mills Auckland City,,https://www.google.com/maps/place/Les+Mills+Auckland+City/data=!4m2!3m1!1s0x6d0d47f18adb3323:0x5bd914266a9397c0,
